x y
68037.5 -21123.4
56619.8 59688
82329.5 -60489.7
-32955.4 53645.9
-44445.1 10794
-4520.59 25774.2
-27043.1 2680.18
90445.9 83239
27142.3 43459.4
-71679.5 21393.8
-96739.9 -51422.6
-72553.7 60835.4
-68664.2 -19811.1
-74041.9 -78238.2
99784.9 -56348.6
2586.48 67822.4
22528 -40793.7
27510.5 4857.44
-1283.4 94555
-41496.6 54271.5
5349 53982.8
-19954.3 78305.9
-43337.1 -29508.3
61544.9 83805.3
-86048.9 89865.4
5199.07 -82788.8
-61557.2 32645.4
78046.5 -30221.4
-87165.7 -95995.4
-8459.65 -87380.8
-52344 94126.8
80441.6 70184
-46666.9 7952.07
-24958.6 52049.7
2507.07 33544.8
6321.29 -92143.9
-12472.5 86367
86162 44190.5
-43141.3 47706.9
27995.8 -29190.3
37572.3 -66805.2
-11979.1 76015
65840.2 -33932.6
-54206.4 78674.5
-29928 37334
91293.7 17728
31460.8 71735.3
-12088 84794
-20312.7 62953.4
36843.7 82194.4
-3501.87 -56835
90050.5 84025.7
-70468 76212.4
28216.1 -13609.3
23919.3 -43788.1
57200.4 -38508.4
-10593.3 -54778.7
-62493.4 -44753.1
11288.8 -16699.7
-66078.6 81360.8
-79365.8 -74784.9
-911.187 52095
96950.3 87000.8
36889 -23362.3
49954.2 -26267.3
-41167.9 -53547.7
16897.7 -51117.5
-69522 46429.7
-74905 58694.1
-67179.6 49014.3
-85094 90020.8
-89494.1 4312.68
-64757.9 -51987.5
59559.6 46530.9
31312.7 93481
27891.7 51947
-81303.9 -73019.5
4042.01 -84353.6
-86018.7 -59069
-7715.91 63935.5
14663.7 51116.2
-89612.2 -68438.6
99998.7 -59134.3
77991.1 -74906.3
99559.8 -89188.5
74108 -85534.2
-99167.7 84613.8
18778.4 -63925.5
-67373.7 -21662
82605.3 63939
-28180.9 10497
15886 -9484.83
37477.5 -80072
6161.6 51458.8
-39141 98445.7
15394.2 75522.8
49561.9 25782
-92915.8 49560.6
66647.7 85075.3
74654.3 66207.5
95886.8 48762.2
80673.3 96719.1
33376.1 -548.296
-67206.4 66002.4
77789.8 -84601.1
29941.4 -50391.2
25895.9 -54172.6
40124 -36626.6
-34244.6 -53714.4
-85167.8 26614.4
-55268.7 30226.4
2137.19 94293.1
