x y
3.40188 -1.05617
2.83099 2.9844
4.11647 -3.02449
-1.64777 2.6823
-2.22225 0.5397
-0.226029 1.28871
-1.35216 0.134009
4.5223 4.16195
1.35712 2.17297
-3.58397 1.06969
-4.83699 -2.57113
-3.62768 3.04177
-3.43321 -0.990556
-3.7021 -3.91191
4.98925 -2.81743
0.129324 3.39112
1.1264 -2.03968
1.37552 0.242872
-0.0641701 4.72775
-2.07483 2.71358
0.26745 2.69914
-0.997714 3.91529
-2.16685 -1.47542
3.07725 4.19026
-4.30245 4.49327
0.259954 -4.13944
-3.07786 1.63227
3.90233 -1.51107
-4.35829 -4.79977
-0.422983 -4.36904
-2.6172 4.70634
4.02208 3.5092
-2.33334 0.397603
-1.24793 2.60249
0.125354 1.67724
0.316064 -4.6072
-0.623624 4.31835
4.3081 2.20952
-2.15707 2.38534
1.39979 -1.45951
1.87861 -3.34026
-0.598955 3.80075
3.29201 -1.69663
-2.71032 3.93372
-1.4964 1.8667
4.56468 0.886401
1.57304 3.58676
-0.604401 4.2397
-1.01563 3.14767
1.84219 4.10972
-0.175093 -2.84175
4.50252 4.20128
-3.5234 3.81062
1.41081 -0.680466
1.19596 -2.18941
2.86002 -1.92542
-0.529664 -2.73893
-3.12467 -2.23765
0.564438 -0.834987
-3.30393 4.06804
-3.96829 -3.73925
-0.0455593 2.60475
4.84752 4.35004
1.84445 -1.16812
2.49771 -1.31336
-2.0584 -2.67738
0.844885 -2.55587
-3.4761 2.32149
-3.74525 2.9347
-3.35898 2.45071
-4.2547 4.50104
-4.47471 0.215634
-3.23789 -2.59938
2.97798 2.32654
1.56564 4.67405
1.39458 2.59735
-4.0652 -3.65098
0.202101 -4.21768
-4.30094 -2.95345
-0.385795 3.19677
0.733186 2.55581
-4.48061 -3.42193
4.99994 -2.95671
3.89956 -3.74532
4.97799 -4.45942
3.7054 -4.27671
-4.95838 4.23069
0.938922 -3.19628
-3.36869 -1.0831
4.13027 3.19695
-1.40905 0.52485
0.7943 -0.474242
1.87387 -4.0036
0.30808 2.57294
-1.95705 4.92228
0.769711 3.77614
2.47809 1.2891
-4.64579 2.47803
3.33239 4.25377
3.73271 3.31038
